time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
92,-13703687.956180565,15247238.643278826,16845918.708447285,[[39.45638198]],[[131.94810171]],[[20164504.46157612]],-7.661740710318397e-05,100,-0.7020530938773524,False,27909.867231263437
93,-13705822.896966426,15247566.113926219,16843908.021805465,[[39.4507353]],[[131.95192745]],[[20164516.7941566]],-7.661741028641543e-05,100,-0.3276621465977682,False,27909.98637604855
94,-13707957.570442826,15247893.6517186,16841896.97576993,[[39.44508807]],[[131.95575188]],[[20164529.12716722]],-7.661741346964688e-05,100,-0.39210815313215763,False,27910.10544657034
95,-13710091.976566283,15248221.256612258,16839885.570384152,[[39.43944031]],[[131.95957501]],[[20164541.46060787]],-7.661741665287834e-05,100,-1.4635149481321186,False,27910.224442833594
96,-13712226.115293285,15248548.928563496,16837873.80569166,[[39.43379199]],[[131.96339684]],[[20164553.79447842]],-7.66174198361098e-05,100,0.29612027706457605,False,27910.343364843142
97,-13714359.986580338,15248876.667528572,16835861.681735944,[[39.42814314]],[[131.96721736]],[[20164566.12877872]],-7.661742301934125e-05,100,0.26105527217988933,False,27910.462212603747
98,-13716493.590384005,15249204.473463763,16833849.19856052,[[39.42249374]],[[131.97103658]],[[20164578.46350866]],-7.661742620257271e-05,100,0.00511345664246089,False,27910.580986120254
99,-13718626.926660776,15249532.346325321,16831836.356208924,[[39.4168438]],[[131.97485449]],[[20164590.79866809]],-7.661742938580416e-05,100,-0.23458713337514692,False,27910.699685397427
100,-13720759.995367212,15249860.286069507,16829823.154724687,[[39.41119331]],[[131.97867111]],[[20164603.13425689]],-7.661743256903562e-05,100,-1.4153707420504142,False,27910.818310440107
101,-13722892.796459896,15250188.292652564,16827809.59415134,[[39.40554228]],[[131.98248642]],[[20164615.47027493]],-7.661743575226708e-05,100,-0.42064532276535904,False,27910.936861253107
102,-13725025.329895357,15250516.366030734,16825795.674532436,[[39.39989071]],[[131.98630043]],[[20164627.80672207]],-7.661743893549853e-05,100,-0.3427145165267695,False,27911.055337841222
103,-13727157.595630195,15250844.506160242,16823781.395911526,[[39.3942386]],[[131.99011314]],[[20164640.14359817]],-7.661744211872999e-05,100,-0.8022772692216189,False,27911.173740209277
104,-13729289.593621003,15251172.712997327,16821766.758332185,[[39.38858595]],[[131.99392455]],[[20164652.48090313]],-7.661744530196144e-05,100,-0.16128571166600914,False,27911.29206836211
105,-13731421.323824374,15251500.986498186,16819751.76183795,[[39.38293275]],[[131.99773466]],[[20164664.8186368]],-7.66174484851929e-05,100,0.4040508568145384,False,27911.410322304506
106,-13733552.786196921,15251829.32661904,16817736.40647244,[[39.37727901]],[[132.00154347]],[[20164677.15679904]],-7.661745166842436e-05,100,1.8861859012105302,False,27911.528502041325
107,-13735683.98069527,15252157.73331609,16815720.692279212,[[39.37162473]],[[132.00535097]],[[20164689.49538974]],-7.661745485165581e-05,100,0.17457781283183896,False,27911.64660757738
108,-13737814.907276059,15252486.206545528,16813704.619301867,[[39.36596991]],[[132.00915718]],[[20164701.83440876]],-7.661745803488727e-05,100,0.25755039072276437,False,27911.76463891751
109,-13739945.565895908,15252814.746263545,16811688.187584005,[[39.36031455]],[[132.01296209]],[[20164714.17385596]],-7.661746121811873e-05,100,-0.07444591576616721,False,27911.88259606653
110,-13742075.956511501,15253143.352426315,16809671.39716923,[[39.35465864]],[[132.0167657]],[[20164726.51373122]],-7.661746440135018e-05,100,-1.9187712152990415,False,27912.00047902929
