epoch,phase
54184,29308570.094406508
54185,29307283.904855605
54186,29305997.62379445
54187,29304711.24865084
54188,29303424.780275133
54189,29302138.21816689
54190,29300851.56534079
54191,29299564.81648155
54192,29298277.97916631
54193,29296991.047045317
54194,29295704.02205805
54195,29294416.905847576
54196,29293129.69808692
54197,29291842.39705434
54198,29290555.004007548
54199,29289267.51875709
54200,29287979.941947952
54201,29286692.27494505
54202,29285404.514052406
54203,29284116.664780468
54204,29282828.719712846
54205,29281540.687916405
54206,29280252.562234122
54207,29278964.345848273
54208,29277676.038759008
54209,29276387.637968212
54210,29275099.151386462
54211,29273810.571197443
54212,29272521.900801674
54213,29271233.143819924
54214,29269944.287898906
54215,29268655.34791532
54216,29267366.314693343
54217,29266077.19238076
54218,29264787.9796804
54219,29263498.67991578
54220,29262209.28787411
54221,29260919.804149456
54222,29259630.234095573
54223,29258340.5709709
54224,29257050.82093434
54225,29255760.98194439
54226,29254471.05089135
54227,29253181.032573424
54228,29251890.92564622
54229,29250600.72895271
54230,29249310.442211345
54231,29248020.07107325
54232,29246729.604819305
54233,29245439.0548068
54234,29244148.41410467
54235,29242857.68391793
54236,29241566.868056584
54237,29240275.9613741
54238,29238984.96875406
54239,29237693.88791875
54240,29236402.716986742
54241,29235111.46054131
54242,29233820.11436905
54243,29232528.682262097
54244,29231237.161755964
54245,29229945.553364325
54246,29228653.856594287
54247,29227362.07661047
54248,29226070.208029117
54249,29224778.24928818
54250,29223486.204642106
54251,29222194.074662186
54252,29220901.857987236
54253,29219609.55379179
54254,29218317.16247466
54255,29217024.68453427
54256,29215732.120861664
54257,29214439.470068842
54258,29213146.732521374
54259,29211853.910484068
54260,29210561.001879025
54261,29209268.00788364
54262,29207974.925361805
54263,29206681.761412844
54264,29205388.507001814
54265,29204095.171971787
54266,29202801.74980438
54267,29201508.241227586
54268,29200214.64585505
54269,29198920.96860786
54270,29197627.204833325
54271,29196333.35698634
54272,29195039.42190046
54273,29193745.404013272
54274,29192451.29929635
54275,29191157.11101733
54276,29189862.840354856
54277,29188568.48357087
54278,29187274.040935945
54279,29185979.515010525
54280,29184684.906864434
54281,29183390.21326736
54282,29182095.435999017
54283,29180800.57534737
54284,29179505.630437262
54285,29178210.600709215
54286,29176915.487440743
54287,29175620.291982375
54288,29174325.013016365
54289,29173029.651126456
54290,29171734.20518983
54291,29170438.67683721
54292,29169143.06554875
54293,29167847.37033586
54294,29166551.594011538
54295,29165255.735529985
54296,29163959.790946186
54297,29162663.76533518
54298,29161367.658816427
54299,29160071.4678921
54300,29158775.196497403
54301,29157478.841799434
54302,29156182.405212436
54303,29154885.887274925
54304,29153589.287526235
54305,29152292.605436772
54306,29150995.844402183
54307,29149698.998648614
54308,29148402.072797466
54309,29147105.06277577
54310,29145807.974854212
54311,29144510.805412497
54312,29143213.555417858
54313,29141916.22080641
54314,29140618.80718445
54315,29139321.314786226
54316,29138023.73935538
54317,29136726.086572684
54318,29135428.349746287
54319,29134130.532851208
54320,29132832.636477385
54321,29131534.66004302
54322,29130236.601636034
54323,29128938.466770906
54324,29127640.249582756
54325,29126341.954211377
54326,29125043.5764534
54327,29123745.12216495
54328,29122446.586611237
54329,29121147.971363723
54330,29119849.278238796
54331,29118550.50162223
54332,29117251.651308965
54333,29115952.71911011
54334,29114653.708397646
54335,29113354.61792934
54336,29112055.449148837
54337,29110756.20443152
54338,29109456.878706805
54339,29108157.475601014
54340,29106857.993248567
54341,29105558.42891582
54342,29104258.791278034
54343,29102959.07453783
54344,29101659.280084793
54345,29100359.4074618
54346,29099059.45409002
54347,29097759.42592959
54348,29096459.321555607
54349,29095159.1346839
54350,29093858.87400611
54351,29092558.536894817
54352,29091258.122629926
54353,29089957.62585662
54354,29088657.057486113
54355,29087356.410903994
54356,29086055.687867984
54357,29084754.8861143
54358,29083454.006411497
54359,29082153.052964307
54360,29080852.025126137
54361,29079550.91730039
54362,29078249.732537784
54363,29076948.474753328
54364,29075647.139051262
54365,29074345.72471727
54366,29073044.237658575
54367,29071742.676789004
54368,29070441.03950308
54369,29069139.323085338
54370,29067837.530185856
54371,29066535.665391643
54372,29065233.726648904
54373,29063931.71052256
54374,29062629.618199058
54375,29061327.451450992
54376,29060025.211301684
54377,29058722.8953122
54378,29057420.503822636
54379,29056118.03641317
54380,29054815.497917067
54381,29053512.881823048
54382,29052210.19233548
54383,29050907.42875535
54384,29049604.591669247
54385,29048301.680359025
54386,29046998.691892214
54387,29045695.633385036
54388,29044392.500031836
54389,29043089.29417522
54390,29041786.011282645
54391,29040482.657288432
54392,29039179.23045384
54393,29037875.728358526
54394,29036572.155271847
54395,29035268.505848587
54396,29033964.78707716
54397,29032660.993482888
54398,29031357.125229962
54399,29030053.185762785
54400,29028749.17379212
54401,29027445.089349415
54402,29026140.93146256
54403,29024836.70291499
54404,29023532.400350578
54405,29022228.027131874
54406,29020923.57807536
54407,29019619.061508622
54408,29018314.472149014
54409,29017009.80800532
54410,29015705.075857878
54411,29014400.27067868
54412,29013095.39489803
54413,29011790.44448312
54414,29010485.425333872
54415,29009180.333609585
54416,29007875.1719049
54417,29006569.9404782
54418,29005264.63467037
54419,29003959.258954015
54420,29002653.813662104
54421,29001348.296820413
54422,29000042.709800452
54423,28998737.05210845
