epoch,phase
54468,47969264.072978385
54469,47967955.27492705
54470,47966646.410300955
54471,47965337.480596706
54472,47964028.484224
54473,47962719.422249
54474,47961410.29355185
54475,47960101.102248214
54476,47958791.84562222
54477,47957482.51979048
54478,47956173.13257382
54479,47954863.67534456
54480,47953554.15618048
54481,47952244.57194082
54482,47950934.922420084
54483,47949625.2095806
54484,47948315.42734189
54485,47947005.5855811
54486,47945695.679683045
54487,47944385.70508239
54488,47943075.66973718
54489,47941765.56840722
54490,47940455.40258468
54491,47939145.1737824
54492,47937834.880237915
54493,47936524.52119845
54494,47935214.10302459
54495,47933903.617521495
54496,47932593.06876163
54497,47931282.45904878
54498,47929971.784123294
54499,47928661.04663613
54500,47927350.244052455
54501,47926039.380732544
54502,47924728.45245097
54503,47923417.46242148
54504,47922106.40933557
54505,47920795.29168857
54506,47919484.114882074
54507,47918172.873563744
54508,47916861.56970718
54509,47915550.20426946
54510,47914238.778634414
54511,47912927.283942595
54512,47911615.7334498
54513,47910304.12014923
54514,47908992.44197866
54515,47907680.705709025
54516,47906368.906074025
54517,47905057.043031454
54518,47903745.12139459
54519,47902433.13972495
54520,47901121.09101225
54521,47899808.9856187
54522,47898496.818235084
54523,47897184.589729525
54524,47895872.29971426
54525,47894559.94978307
54526,47893247.53850475
54527,47891935.067450695
54528,47890622.53524021
54529,47889309.94204003
54530,47887997.28868615
54531,47886684.57347351
54532,47885371.801573515
54533,47884058.968920074
54534,47882746.07256573
54535,47881433.11934641
54536,47880120.10885369
54537,47878807.03286761
54538,47877493.90166649
54539,47876180.70911583
54540,47874867.459586404
54541,47873554.14762825
54542,47872240.77806508
54543,47870927.34815034
54544,47869613.86187741
54545,47868300.311987
54546,47866986.70707888
54547,47865673.04324678
54548,47864359.3200724
54549,47863045.53635832
54550,47861731.69417224
54551,47860417.79701191
54552,47859103.84206039
54553,47857789.824290775
54554,47856475.75199335
54555,47855161.62004839
54556,47853847.431036204
54557,47852533.18536756
54558,47851218.87954519
54559,47849904.51895069
54560,47848590.09798014
54561,47847275.61980162
54562,47845961.084908515
54563,47844646.49342684
54564,47843331.84280873
54565,47842017.136879854
54566,47840702.37563322
54567,47839387.55587186
54568,47838072.67693717
54569,47836757.745753534
54570,47835442.7547725
54571,47834127.70768581
54572,47832812.605380215
54573,47831497.44746404
54574,47830182.23186299
54575,47828866.960121736
54576,47827551.63275917
54577,47826236.247876324
54578,47824920.81037516
54579,47823605.31445102
54580,47822289.76637248
54581,47820974.15787149
54582,47819658.49892954
54583,47818342.77963976
