time,x_cart,y_cart,z_cart,lat,long,height,clock_offset,integer_ambiguity,noise,visibility,distance
53608,19288820.26912079,-13061062.804483369,-12959975.941081574,[[-29.12821665]],[[-34.10315623]],[[20284203.8307965]],-7.678776091779424e-05,100,-1.0167435625855696,True,25848.969837110908
53609,19288107.489602327,-13059587.640669761,-12962532.399896927,[[-29.13450459]],[[-34.10113473]],[[20284210.33884739]],-7.678776410102569e-05,100,0.06661429708730547,True,25848.62522824361
53610,19287394.62199779,-13058112.16754283,-12965088.585952653,[[-29.14079224]],[[-34.09911248]],[[20284216.84502525]],-7.678776728425715e-05,100,2.7835437721838594,True,25848.280591854433
53611,19286681.666363724,-13056636.385113034,-12967644.499195134,[[-29.1470796]],[[-34.09708947]],[[20284223.34932983]],-7.67877704674886e-05,100,-0.17670298873944418,True,25847.93592793952
53612,19285968.62275665,-13055160.293390974,-12970200.139570653,[[-29.15336667]],[[-34.09506571]],[[20284229.85176086]],-7.678777365072006e-05,100,0.15821403145625704,True,25847.591236495045
53613,19285255.491233118,-13053683.892387025,-12972755.507025683,[[-29.15965345]],[[-34.09304119]],[[20284236.35231807]],-7.678777683395152e-05,100,2.073115653434056,True,25847.2465175171
53614,19284542.271849625,-13052207.18211182,-12975310.601506535,[[-29.16593994]],[[-34.09101591]],[[20284242.85100121]],-7.678778001718297e-05,100,1.2414589847743276,True,25846.901771001867
53615,19283828.964662723,-13050730.162575882,-12977865.422959585,[[-29.17222614]],[[-34.08898988]],[[20284249.34781003]],-7.678778320041443e-05,100,1.1779641784928792,True,25846.55699694549
53616,19283115.569728926,-13049252.833789814,-12980419.971331183,[[-29.17851206]],[[-34.08696309]],[[20284255.84274426]],-7.678778638364589e-05,100,-0.3615384624207382,True,25846.212195344124
53617,19282402.087104794,-13047775.195764065,-12982974.246567808,[[-29.18479768]],[[-34.08493555]],[[20284262.33580363]],-7.678778956687734e-05,100,-2.465094798102108,True,25845.8673661939
53618,19281688.516846813,-13046297.248509381,-12985528.248615736,[[-29.19108301]],[[-34.08290725]],[[20284268.82698789]],-7.67877927501088e-05,100,-0.5597824625952349,True,25845.52250949101
53619,19280974.859011535,-13044818.99203625,-12988081.977421446,[[-29.19736805]],[[-34.08087819]],[[20284275.31629678]],-7.678779593334025e-05,100,0.8199134748768169,True,25845.17762523157
53620,19280261.113655474,-13043340.426355368,-12990635.432931267,[[-29.2036528]],[[-34.07884838]],[[20284281.80373002]],-7.678779911657171e-05,100,0.11100028660690175,True,25844.832713411768
53621,19279547.280835174,-13041861.55147729,-12993188.615091672,[[-29.20993726]],[[-34.07681781]],[[20284288.28928738]],-7.678780229980317e-05,100,0.5546491810050665,True,25844.48777402774
53622,19278833.360607166,-13040382.367412623,-12995741.523849085,[[-29.21622143]],[[-34.07478648]],[[20284294.77296858]],-7.678780548303462e-05,100,-0.890376119146153,True,25844.14280707565
53623,19278119.353027955,-13038902.874172134,-12998294.159149855,[[-29.22250531]],[[-34.07275439]],[[20284301.25477336]],-7.678780866626608e-05,100,-1.9132479600162628,True,25843.79781255168
53624,19277405.25815408,-13037423.071766373,-13000846.5209405,[[-29.2287889]],[[-34.07072155]],[[20284307.73470146]],-7.678781184949754e-05,100,-0.2879451713803597,True,25843.452790451964
53625,19276691.076042064,-13035942.960206125,-13003398.609167349,[[-29.2350722]],[[-34.06868795]],[[20284314.21275263]],-7.678781503272899e-05,100,0.6167478260343379,True,25843.107740772703
53626,19275976.80674845,-13034462.539501937,-13005950.423776943,[[-29.2413552]],[[-34.06665359]],[[20284320.6889266]],-7.678781821596045e-05,100,-0.3402117737616841,True,25842.76266351002
53627,19275262.450329736,-13032981.809664678,-13008501.96471563,[[-29.24763792]],[[-34.06461846]],[[20284327.16322312]],-7.67878213991919e-05,100,0.05176650699768958,True,25842.41755866013
53628,19274548.00684246,-13031500.77070497,-13011053.231929904,[[-29.25392034]],[[-34.06258258]],[[20284333.63564191]],-7.678782458242336e-05,100,0.8324459526819626,True,25842.07242621918
53629,19273833.476343147,-13030019.422633562,-13013604.225366214,[[-29.26020247]],[[-34.06054595]],[[20284340.10618272]],-7.678782776565482e-05,100,0.7413612156362501,True,25841.727266183345
53630,19273118.858888324,-13028537.765461167,-13016154.944971042,[[-29.26648431]],[[-34.05850855]],[[20284346.5748453]],-7.678783094888627e-05,100,-0.8962558442988826,True,25841.382078548795
53631,19272404.154534526,-13027055.799198573,-13018705.390690815,[[-29.27276586]],[[-34.05647039]],[[20284353.04162938]],-7.678783413211773e-05,100,1.689131547876787,True,25841.03686331171
